"step","time","part","epoch","loss","lr","dx_f_measure"
10,"2024-08-08 23:00:28.387187","train",0,3.2906134128570557,4.001121126885883e-06,""
20,"2024-08-08 23:00:45.612562","train",0,2.8413219451904297,4.0044844551716415e-06,""
30,"2024-08-08 23:01:02.477221","train",0,3.1271510124206543,4.010089827744036e-06,""
40,"2024-08-08 23:01:19.352004","train",0,2.380850315093994,4.017936982755828e-06,""
50,"2024-08-08 23:01:35.408004","train",0,3.171130895614624,4.028025553637978e-06,""
60,"2024-08-08 23:01:51.808258","train",0,2.484675884246826,4.040355069116831e-06,""
70,"2024-08-08 23:02:08.021710","train",0,2.660040855407715,4.0549249532360724e-06,""
80,"2024-08-08 23:02:24.555557","train",0,2.54264497756958,4.071734525383695e-06,""
90,"2024-08-08 23:02:40.708887","train",0,3.0263729095458984,4.0907830003237004e-06,""
100,"2024-08-08 23:02:56.487713","train",0,2.4192941188812256,4.1120694882328666e-06,""
110,"2024-08-08 23:03:12.879655","train",0,2.4116013050079346,4.1355929947422995e-06,""
120,"2024-08-08 23:03:28.833004","train",0,2.153916358947754,4.1613524209838375e-06,""
130,"2024-08-08 23:03:45.249784","train",0,2.016977071762085,4.189346563641429e-06,""
140,"2024-08-08 23:04:01.736148","train",0,2.1467151641845703,4.21957411500732e-06,""
150,"2024-08-08 23:04:18.147771","train",0,2.247083902359009,4.25203366304315e-06,""
160,"2024-08-08 23:04:34.288340","train",0,2.748225688934326,4.286723691445928e-06,""
170,"2024-08-08 23:04:50.561421","train",0,2.0242056846618652,4.323642579718851e-06,""
180,"2024-08-08 23:05:07.802965","train",0,2.154268264770508,4.362788603246964e-06,""
190,"2024-08-08 23:05:24.029723","train",0,2.2517664432525635,4.404159933377814e-06,""
200,"2024-08-08 23:05:40.559920","train",0,2.3237297534942627,4.447754637506787e-06,""
210,"2024-08-08 23:05:56.713104","train",0,2.4631783962249756,4.493570679167428e-06,""
220,"2024-08-08 23:06:13.111087","train",0,2.114173650741577,4.541605918126568e-06,""
230,"2024-08-08 23:06:29.690184","train",0,2.9642248153686523,4.591858110484292e-06,""
240,"2024-08-08 23:06:45.935294","train",0,1.870382308959961,4.644324908778801e-06,""
250,"2024-08-08 23:07:02.250920","train",0,2.494124174118042,4.699003862095936e-06,""
260,"2024-08-08 23:07:18.155129","train",0,2.3587961196899414,4.75589241618391e-06,""
270,"2024-08-08 23:07:34.360370","train",0,2.390275001525879,4.814987913572357e-06,""
280,"2024-08-08 23:07:50.363998","train",0,2.1384224891662598,4.8762875936966994e-06,""
290,"2024-08-08 23:08:06.311317","train",0,2.2562599182128906,4.9397885930269265e-06,""
300,"2024-08-08 23:08:22.503859","train",0,2.382136344909668,5.005487945201453e-06,""
310,"2024-08-08 23:08:38.423982","train",0,2.2079200744628906,5.073382581165746e-06,""
320,"2024-08-08 23:08:54.534196","train",0,2.281071662902832,5.143469329315525e-06,""
330,"2024-08-08 23:09:10.558302","train",0,1.801504373550415,5.215744915645061e-06,""
340,"2024-08-08 23:09:26.900471","train",0,2.421170473098755,5.290205963900054e-06,""
350,"2024-08-08 23:09:42.896073","train",0,1.8567694425582886,5.366848995735397e-06,""
360,"2024-08-08 23:09:59.102741","train",0,1.6732428073883057,5.445670430877589e-06,""
370,"2024-08-08 23:10:15.307183","train",0,2.09873628616333,5.526666587292038e-06,""
380,"2024-08-08 23:10:31.693820","train",0,2.6247196197509766,5.609833681355063e-06,""
390,"2024-08-08 23:10:48.013183","train",0,2.240044355392456,5.695167828030599e-06,""
400,"2024-08-08 23:11:04.474950","train",0,2.2830026149749756,5.782665041051749e-06,""
410,"2024-08-08 23:11:20.399376","train",0,1.6025989055633545,5.872321233106915e-06,""
420,"2024-08-08 23:11:36.535744","train",0,1.6885390281677246,5.96413221603078e-06,""
430,"2024-08-08 23:11:52.434112","train",0,2.7282986640930176,6.0580937009999775e-06,""
440,"2024-08-08 23:12:08.435941","train",0,2.5330047607421875,6.154201298733361e-06,""
450,"2024-08-08 23:12:24.715275","train",0,2.322197437286377,6.252450519697117e-06,""
460,"2024-08-08 23:12:41.301183","train",0,1.5769507884979248,6.35283677431444e-06,""
470,"2024-08-08 23:12:57.475922","train",0,1.9200799465179443,6.455355373179958e-06,""
480,"2024-08-08 23:13:13.710093","train",0,1.4158506393432617,6.560001527278783e-06,""
490,"2024-08-08 23:13:29.620224","train",0,1.9794808626174927,6.666770348210196e-06,""
500,"2024-08-08 23:13:46.194299","train",0,2.2080025672912598,6.77565684841606e-06,""
510,"2024-08-08 23:14:02.296417","train",0,2.1333374977111816,6.886655941413736e-06,""
520,"2024-08-08 23:14:18.791780","train",0,1.6836118698120117,6.999762442033762e-06,""
530,"2024-08-08 23:14:34.684648","train",0,1.9544272422790527,7.114971066662031e-06,""
540,"2024-08-08 23:14:50.701338","train",0,1.6569979190826416,7.232276433486576e-06,""
