"step","time","part","epoch","loss","lr","detection_map","detection_map_50","detection_map_75","detection_map_small","detection_map_medium","detection_map_large","detection_mar_1","detection_mar_10","detection_mar_100","detection_mar_small","detection_mar_medium","detection_mar_large","detection_map_I","detection_mar_100_I","detection_map_II","detection_mar_100_II","detection_map_III","detection_mar_100_III","detection_map_aVR","detection_mar_100_aVR","detection_map_aVL","detection_mar_100_aVL","detection_map_aVF","detection_mar_100_aVF","detection_map_V1","detection_mar_100_V1","detection_map_V2","detection_mar_100_V2","detection_map_V3","detection_mar_100_V3","detection_map_V4","detection_mar_100_V4","detection_map_V5","detection_mar_100_V5","detection_map_V6","detection_mar_100_V6","detection_map_waveform","detection_mar_100_waveform"
40,"2024-08-09 11:35:47.794269","train",0,5.720686435699463,2.8136241851364405e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
80,"2024-08-09 11:37:06.981760","train",0,5.119574069976807,2.854485691830284e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
120,"2024-08-09 11:38:21.688424","train",0,4.637729167938232,2.922551382895068e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
160,"2024-08-09 11:39:39.345102","train",0,4.298964023590088,3.0177660595464743e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
200,"2024-08-09 11:40:58.004215","train",0,4.245019912719727,3.1400525061665158e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
240,"2024-08-09 11:42:14.508036","train",0,3.9439268112182617,3.289311552922555e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
280,"2024-08-09 11:43:27.915370","train",0,3.7932779788970947,3.4654221561903844e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
320,"2024-08-09 11:44:47.342642","train",0,3.658912181854248,3.6682414967162532e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
360,"2024-08-09 11:45:59.656174","train",0,3.4982657432556152,3.897605095437955e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
400,"2024-08-09 11:47:14.539967","train",0,3.4106807708740234,4.153326946871444e-06,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
