"step","time","part","epoch","loss","lr","dx_f_measure"
40,"2024-08-09 14:52:14.512245","train",0,3.186234474182129,4.017936982755828e-06,""
80,"2024-08-09 14:53:23.466730","train",0,3.3621392250061035,4.071734525383695e-06,""
120,"2024-08-09 14:54:30.888812","train",0,3.141470432281494,4.1613524209838375e-06,""
160,"2024-08-09 14:55:38.032107","train",0,3.3723995685577393,4.286723691445928e-06,""
200,"2024-08-09 14:56:43.817440","train",0,3.1538314819335938,4.447754637506787e-06,""
240,"2024-08-09 14:57:50.045614","train",0,3.0837244987487793,4.644324908778801e-06,""
280,"2024-08-09 14:58:56.512609","train",0,2.38838529586792,4.8762875936966994e-06,""
320,"2024-08-09 15:00:03.096257","train",0,3.540465831756592,5.143469329315525e-06,""
360,"2024-08-09 15:01:09.448616","train",0,2.6253905296325684,5.445670430877589e-06,""
400,"2024-08-09 15:02:16.030372","train",0,2.537557601928711,5.782665041051749e-06,""
440,"2024-08-09 15:03:22.109248","train",0,2.575183629989624,6.154201298733361e-06,""
480,"2024-08-09 15:04:28.643073","train",0,2.257953405380249,6.560001527278783e-06,""
520,"2024-08-09 15:05:34.524544","train",0,3.0881857872009277,6.999762442033762e-06,""
560,"2024-08-09 15:06:41.510293","train",0,3.1685149669647217,7.473155377000641e-06,""
600,"2024-08-09 15:07:49.775607","train",0,2.478365659713745,7.979826530474772e-06,""
613,"2024-08-09 15:24:58.386124","train",0,"","",0.18423775104630452
613,"2024-08-09 15:26:52.962157","val",0,"","",0.18126220824487838
640,"2024-08-09 15:27:45.059129","train",1,2.0058341026306152,8.519397229466853e-06,""
680,"2024-08-09 15:28:49.490641","train",1,2.096054792404175,9.091464212713447e-06,""
720,"2024-08-09 15:29:52.397118","train",1,2.4652535915374756,9.695599932063942e-06,""
760,"2024-08-09 15:30:55.289634","train",1,2.1522655487060547,1.0331352872019195e-05,""
800,"2024-08-09 15:31:57.008700","train",1,2.2508697509765625,1.0998247887182493e-05,""
840,"2024-08-09 15:33:00.558186","train",1,1.6806999444961548,1.1695786557371036e-05,""
880,"2024-08-09 15:34:02.403674","train",1,2.079658031463623,1.2423447560122399e-05,""
920,"2024-08-09 15:35:04.126184","train",1,2.233121395111084,1.3180687060317472e-05,""
960,"2024-08-09 15:36:07.353192","train",1,2.4161758422851562,1.3966939116628871e-05,""
1000,"2024-08-09 15:37:08.650873","train",1,2.259227752685547,1.4781616104490945e-05,""
1040,"2024-08-09 15:38:09.982154","train",1,1.8527321815490723,1.562410915527523e-05,""
1080,"2024-08-09 15:39:13.847623","train",1,2.338075637817383,1.6493788611343267e-05,""
1120,"2024-08-09 15:40:17.132613","train",1,1.8502411842346191,1.7390004496636402e-05,""
1160,"2024-08-09 15:41:18.133757","train",1,2.174376964569092,1.8312087002451342e-05,""
1200,"2024-08-09 15:42:21.011903","train",1,2.3297617435455322,1.925934698803779e-05,""
1226,"2024-08-09 15:59:27.531931","train",1,"","",0.18740059830168906
