"step","time","part","epoch","loss","lr","dx_f_measure"
40,"2024-08-09 23:02:03.666826","train",0,2.5286593437194824,4.001120761113611e-06,""
80,"2024-08-09 23:02:45.998042","train",0,2.2386906147003174,4.004482992116704e-06,""
120,"2024-08-09 23:03:28.061648","train",0,3.2794923782348633,4.010086535998538e-06,""
160,"2024-08-09 23:04:12.103195","train",0,2.4121744632720947,4.017931131082691e-06,""
200,"2024-08-09 23:04:56.632265","train",0,1.91310715675354,4.028016411039299e-06,""
240,"2024-08-09 23:05:40.803855","train",0,1.707903504371643,4.040341904902118e-06,""
280,"2024-08-09 23:06:24.747114","train",0,2.3938632011413574,4.0549070370905494e-06,""
320,"2024-08-09 23:07:09.044513","train",0,1.9256761074066162,4.0717111274365275e-06,""
360,"2024-08-09 23:07:52.636923","train",0,2.0315134525299072,4.0907533912162576e-06,""
400,"2024-08-09 23:08:35.115026","train",0,2.1092796325683594,4.112032939186877e-06,""
440,"2024-08-09 23:09:19.557526","train",0,2.3106632232666016,4.135548777627982e-06,""
480,"2024-08-09 23:10:03.895679","train",0,1.6405940055847168,4.161299808387985e-06,""
520,"2024-08-09 23:10:49.467527","train",0,1.402986764907837,4.189284828935513e-06,""
560,"2024-08-09 23:11:33.519135","train",0,2.2231669425964355,4.219502532415442e-06,""
600,"2024-08-09 23:12:17.268093","train",0,2.585127353668213,4.251951507709955e-06,""
640,"2024-08-09 23:13:00.889927","train",0,2.5217881202697754,4.286630239504525e-06,""
680,"2024-08-09 23:13:44.761308","train",0,1.7721213102340698,4.323537108358514e-06,""
720,"2024-08-09 23:14:29.275730","train",0,1.6986480951309204,4.362670390780984e-06,""
760,"2024-08-09 23:15:13.201179","train",0,1.786229133605957,4.404028259311036e-06,""
800,"2024-08-09 23:15:56.834286","train",0,2.5784990787506104,4.44760878260322e-06,""
840,"2024-08-09 23:16:40.628003","train",0,2.0648205280303955,4.493409925517724e-06,""
880,"2024-08-09 23:17:24.855692","train",0,1.8727099895477295,4.541429549215366e-06,""
920,"2024-08-09 23:18:08.416162","train",0,2.8544676303863525,4.591665411257545e-06,""
960,"2024-08-09 23:18:52.723462","train",0,2.1665866374969482,4.644115165710862e-06,""
1000,"2024-08-09 23:19:37.190076","train",0,1.4233689308166504,4.698776363256819e-06,""
1040,"2024-08-09 23:20:20.605229","train",0,1.841850996017456,4.75564645130601e-06,""
1080,"2024-08-09 23:21:04.951498","train",0,1.483872652053833,4.814722774117505e-06,""
1120,"2024-08-09 23:21:48.688019","train",0,2.7217373847961426,4.8760025729227086e-06,""
1160,"2024-08-09 23:22:32.762577","train",0,1.6065983772277832,4.939482986054337e-06,""
1200,"2024-08-09 23:23:16.086534","train",0,1.240781545639038,5.005161049079939e-06,""
1226,"2024-08-09 23:43:26.899825","train",0,"","",0.21940599840918695
1226,"2024-08-09 23:45:44.608469","val",0,"","",0.21915451902109992
1240,"2024-08-09 23:46:07.060025","train",1,1.425905466079712,5.073033694940403e-06,""
1280,"2024-08-09 23:46:51.628153","train",1,1.2929401397705078,5.143097754093111e-06,""
1320,"2024-08-09 23:47:36.265102","train",1,2.386638879776001,5.215349954660055e-06,""
1360,"2024-08-09 23:48:21.262381","train",1,0.8529072403907776,5.289786922580507e-06,""
1400,"2024-08-09 23:49:05.569320","train",1,1.1064826250076294,5.366405181768673e-06,""
1440,"2024-08-09 23:49:50.083411","train",1,1.3504409790039062,5.445201154276029e-06,""
1480,"2024-08-09 23:50:34.684522","train",1,1.460847020149231,5.526171160458285e-06,""
1520,"2024-08-09 23:51:19.321417","train",1,1.4930169582366943,5.609311419147367e-06,""
1560,"2024-08-09 23:52:04.070789","train",1,1.7791640758514404,5.6946180478279125e-06,""
1600,"2024-08-09 23:52:48.494161","train",1,1.673543095588684,5.782087062818577e-06,""
1640,"2024-08-09 23:53:32.552641","train",1,1.1090872287750244,5.871714379458053e-06,""
1680,"2024-08-09 23:54:15.751866","train",1,1.6467080116271973,5.963495812295907e-06,""
1720,"2024-08-09 23:54:59.886876","train",1,2.0672457218170166,6.057427075287908e-06,""
1760,"2024-08-09 23:55:43.039917","train",1,1.6273245811462402,6.153503781996324e-06,""
1800,"2024-08-09 23:56:26.685968","train",1,1.9418015480041504,6.251721445794549e-06,""
1840,"2024-08-09 23:57:10.385864","train",1,2.037116527557373,6.35207548007687e-06,""
1880,"2024-08-09 23:57:54.199846","train",1,2.361107587814331,6.454561198472475e-06,""
1920,"2024-08-09 23:58:38.075473","train",1,1.3374910354614258,6.559173815064368e-06,""
1960,"2024-08-09 23:59:21.278797","train",1,1.7455096244812012,6.665908444612861e-06,""
2000,"2024-08-10 00:00:04.898927","train",1,2.2304933071136475,6.774760102783666e-06,""
2040,"2024-08-10 00:00:48.833548","train",1,1.4608771800994873,6.885723706380738e-06,""
2080,"2024-08-10 00:01:32.718537","train",1,1.4776928424835205,6.998794073583597e-06,""
2120,"2024-08-10 00:02:16.446302","train",1,1.6197130680084229,7.1139659241892505e-06,""
2160,"2024-08-10 00:02:59.665717","train",1,1.3893659114837646,7.2312338798589194e-06,""
2200,"2024-08-10 00:03:42.816400","train",1,1.8681204319000244,7.350592464369085e-06,""
2240,"2024-08-10 00:04:26.095175","train",1,1.834824562072754,7.472036103867209e-06,""
2280,"2024-08-10 00:05:09.768737","train",1,2.187467575073242,7.595559127132124e-06,""
2320,"2024-08-10 00:05:53.456066","train",1,1.94833242893219,7.721155765838802e-06,""
2360,"2024-08-10 00:06:37.499570","train",1,2.0587005615234375,7.848820154827661e-06,""
2400,"2024-08-10 00:07:21.673012","train",1,1.4942042827606201,7.97854633237864e-06,""
2440,"2024-08-10 00:08:04.899581","train",1,0.9828569889068604,8.110328240489397e-06,""
2452,"2024-08-10 00:27:24.393315","train",1,"","",0.21926225241263603
2452,"2024-08-10 00:29:39.720182","val",1,"","",0.21700513482331535
2480,"2024-08-10 00:30:16.047074","train",2,1.553375244140625,8.244159725158363e-06,""
2520,"2024-08-10 00:30:58.056157","train",2,2.3587305545806885,8.38003453667205e-06,""
2560,"2024-08-10 00:31:42.276982","train",2,1.7529696226119995,8.517946329896905e-06,""
2600,"2024-08-10 00:32:25.527865","train",2,1.2470672130584717,8.657888664575651e-06,""
2640,"2024-08-10 00:33:08.466260","train",2,1.420856237411499,8.799855005628006e-06,""
2680,"2024-08-10 00:33:52.037103","train",2,1.2868696451187134,8.943838723455839e-06,""
2720,"2024-08-10 00:34:34.776125","train",2,1.7336182594299316,9.089833094252838e-06,""
2760,"2024-08-10 00:35:17.819098","train",2,1.5291625261306763,9.237831300318438e-06,""
2800,"2024-08-10 00:36:01.133184","train",2,1.6975531578063965,9.387826430376197e-06,""
2840,"2024-08-10 00:36:44.136484","train",2,1.7318191528320312,9.539811479896589e-06,""
2880,"2024-08-10 00:37:27.315588","train",2,1.2096506357192993,9.693779351424057e-06,""
2920,"2024-08-10 00:38:10.449833","train",2,1.653913974761963,9.849722854908478e-06,""
2960,"2024-08-10 00:38:53.514231","train",2,1.75977623462677,1.0007634708040873e-05,""
3000,"2024-08-10 00:39:36.607544","train",2,1.5964502096176147,1.016750753659359e-05,""
3040,"2024-08-10 00:40:19.168709","train",2,1.7508207559585571,1.0329333874764575e-05,""
3080,"2024-08-10 00:41:02.446324","train",2,1.2298024892807007,1.0493106165526006e-05,""
3120,"2024-08-10 00:41:45.419400","train",2,1.2518855333328247,1.0658816760977311e-05,""
3160,"2024-08-10 00:42:28.880557","train",2,1.1243596076965332,1.0826457922702139e-05,""
3200,"2024-08-10 00:43:12.744015","train",2,0.9278421998023987,1.0996021822129852e-05,""
3240,"2024-08-10 00:43:56.234859","train",2,1.607640027999878,1.1167500540901136e-05,""
3280,"2024-08-10 00:44:39.585844","train",2,0.9948210716247559,1.1340886071237606e-05,""
3320,"2024-08-10 00:45:22.939784","train",2,1.989588737487793,1.1516170316315958e-05,""
3360,"2024-08-10 00:46:06.115541","train",2,1.558302879333496,1.1693345090645958e-05,""
3400,"2024-08-10 00:46:49.419647","train",2,1.4969062805175781,1.1872402120452697e-05,""
3440,"2024-08-10 00:47:32.368107","train",2,1.988511085510254,1.2053333044063019e-05,""
3480,"2024-08-10 00:48:15.082520","train",2,2.1256608963012695,1.2236129412295939e-05,""
3520,"2024-08-10 00:48:58.277830","train",2,0.9272028207778931,1.2420782688857227e-05,""
3560,"2024-08-10 00:49:41.979628","train",2,1.2172200679779053,1.2607284250738083e-05,""
3600,"2024-08-10 00:50:25.665202","train",2,2.9593429565429688,1.2795625388617752e-05,""
3640,"2024-08-10 00:51:09.021373","train",2,1.5543694496154785,1.2985797307270213e-05,""
3678,"2024-08-10 01:11:34.327158","train",2,"","",0.24148060246315806
3678,"2024-08-10 01:13:51.719768","val",2,"","",0.23145690769032437
3680,"2024-08-10 01:14:00.797521","train",3,2.120802879333496,1.3177791125975046e-05,""
3720,"2024-08-10 01:14:45.055432","train",3,1.0028882026672363,1.3371597878931955e-05,""
3760,"2024-08-10 01:15:29.036728","train",3,1.3388181924819946,1.3567208515679631e-05,""
3800,"2024-08-10 01:16:13.329998","train",3,1.6145215034484863,1.3764613901518243e-05,""
3840,"2024-08-10 01:16:56.662198","train",3,2.5243725776672363,1.3963804817936174e-05,""
3880,"2024-08-10 01:17:40.273487","train",3,1.801255226135254,1.416477196304032e-05,""
3920,"2024-08-10 01:18:23.794352","train",3,1.7749056816101074,1.4367505951990637e-05,""
3960,"2024-08-10 01:19:08.034112","train",3,1.6398725509643555,1.4571997317438344e-05,""
4000,"2024-08-10 01:19:51.809204","train",3,1.263458251953125,1.4778236509967982e-05,""
4040,"2024-08-10 01:20:35.594281","train",3,1.2417024374008179,1.4986213898543444e-05,""
4080,"2024-08-10 01:21:19.110136","train",3,1.0290625095367432,1.5195919770957632e-05,""
4120,"2024-08-10 01:22:03.034352","train",3,1.8390223979949951,1.540734433428611e-05,""
4160,"2024-08-10 01:22:46.082740","train",3,1.2477811574935913,1.5620477715344336e-05,""
4200,"2024-08-10 01:23:29.197585","train",3,1.1267421245574951,1.583530996114872e-05,""
4240,"2024-08-10 01:24:12.947543","train",3,1.4222517013549805,1.6051831039381502e-05,""
4280,"2024-08-10 01:24:56.653358","train",3,1.9890244007110596,1.6270030838859127e-05,""
4320,"2024-08-10 01:25:40.017655","train",3,1.3007123470306396,1.648989917000451e-05,""
4360,"2024-08-10 01:26:23.405538","train",3,1.7464568614959717,1.671142576532283e-05,""
4400,"2024-08-10 01:27:07.067482","train",3,1.59153151512146,1.6934600279881016e-05,""
4440,"2024-08-10 01:27:50.816569","train",3,1.5384461879730225,1.7159412291790853e-05,""
4480,"2024-08-10 01:28:34.497467","train",3,1.0661221742630005,1.7385851302695625e-05,""
4520,"2024-08-10 01:29:18.402103","train",3,1.3821693658828735,1.7613906738260412e-05,""
4560,"2024-08-10 01:30:01.455236","train",3,1.4110352993011475,1.7843567948665892e-05,""
4600,"2024-08-10 01:30:45.308653","train",3,1.1283899545669556,1.8074824209105646e-05,""
4640,"2024-08-10 01:31:28.963774","train",3,1.1673402786254883,1.830766472028702e-05,""
