"step","time","part","epoch","loss","lr","dx_f_measure"
100,"2024-09-03 09:20:39.625794","train",0,0.04175318405032158,4.1120694882328666e-06,""
200,"2024-09-03 09:23:47.058395","train",0,0.040572211146354675,4.447754637506787e-06,""
300,"2024-09-03 09:26:49.663804","train",0,0.04181557893753052,5.005487945201453e-06,""
400,"2024-09-03 09:29:55.663848","train",0,0.04430738091468811,5.782665041051749e-06,""
500,"2024-09-03 09:33:00.941194","train",0,0.03957412391901016,6.77565684841606e-06,""
600,"2024-09-03 09:35:57.580506","train",0,0.03789106756448746,7.979826530474772e-06,""
613,"2024-09-03 09:55:31.597669","train",0,"","",0.2751229756884317
613,"2024-09-03 09:57:42.267562","val",0,"","",0.2677605541476331
700,"2024-09-03 10:00:35.145486","train",1,0.0353519544005394,9.389551142227316e-06,""
800,"2024-09-03 10:03:34.229296","train",1,0.03275703266263008,1.0998247887182493e-05,""
900,"2024-09-03 10:06:36.180098","train",1,0.03873841091990471,1.279840485613494e-05,""
1000,"2024-09-03 10:09:43.933924","train",1,0.037488289177417755,1.4781616104490945e-05,""
1100,"2024-09-03 10:12:53.668385","train",1,0.03852207586169243,1.693862090434795e-05,""
1200,"2024-09-03 10:16:00.376399","train",1,0.028485823422670364,1.925934698803779e-05,""
1226,"2024-09-03 10:35:51.557389","train",1,"","",0.37841273343096893
1226,"2024-09-03 10:38:01.800186","val",1,"","",0.3600578193959529
1300,"2024-09-03 10:40:28.665891","train",2,0.03729182481765747,2.1732957581205168e-05,""
1400,"2024-09-03 10:43:33.446577","train",2,0.03680175170302391,2.4347902005797422e-05,""
1500,"2024-09-03 10:46:44.173151","train",2,0.029294908046722412,2.7091969616671976e-05,""
1600,"2024-09-03 10:49:56.679910","train",2,0.033747389912605286,2.9952346819961043e-05,""
1700,"2024-09-03 10:53:05.413364","train",2,0.03133486956357956,3.291567690694272e-05,""
1800,"2024-09-03 10:56:16.426867","train",2,0.035799406468868256,3.596812242402063e-05,""
1839,"2024-09-03 11:16:32.378852","train",2,"","",0.4311542435831891
1839,"2024-09-03 11:18:28.034116","val",2,"","",0.40545275428512456
1900,"2024-09-03 11:20:41.127013","train",3,0.029050827026367188,3.9095429787571564e-05,""
2000,"2024-09-03 11:23:50.362094","train",3,0.028158675879240036,4.228299584193799e-05,""
2100,"2024-09-03 11:26:57.389071","train",3,0.028702644631266594,4.551593604976902e-05,""
2200,"2024-09-03 11:30:06.815784","train",3,0.02719985321164131,4.8779153996290534e-05,""
2300,"2024-09-03 11:33:17.294878","train",3,0.028346514329314232,5.205741188295008e-05,""
2400,"2024-09-03 11:36:28.668376","train",3,0.030899152159690857,5.533540168126208e-05,""
2452,"2024-09-03 11:57:10.461397","train",3,"","",0.45445265748406166
2452,"2024-09-03 11:59:21.213918","val",3,"","",0.4294816092813308
2500,"2024-09-03 12:00:53.157185","train",4,0.023580778390169144,5.859781661459619e-05,""
2600,"2024-09-03 12:03:46.799636","train",4,0.02755669504404068,6.182942263411977e-05,""
2700,"2024-09-03 12:06:39.313716","train",4,0.032891299575567245,6.501512955513375e-05,""
2800,"2024-09-03 12:09:31.716021","train",4,0.02334532141685486,6.814006152162572e-05,""
2900,"2024-09-03 12:12:27.205986","train",4,0.0268147811293602,7.118962647000204e-05,""
3000,"2024-09-03 12:15:23.243257","train",4,0.03891447186470032,7.414958426763366e-05,""
3065,"2024-09-03 12:35:56.229534","train",4,"","",0.5032808442598274
3065,"2024-09-03 12:38:06.129258","val",4,"","",0.43282593174694345
3100,"2024-09-03 12:39:27.705283","train",5,0.02636808529496193,7.70061132080384e-05,""
3200,"2024-09-03 12:42:20.486710","train",5,0.03406296297907829,7.974587455219657e-05,""
3300,"2024-09-03 12:45:13.920046","train",5,0.027599137276411057,8.235607481461984e-05,""
3400,"2024-09-03 12:48:06.400840","train",5,0.02634875476360321,8.482452550332503e-05,""
3500,"2024-09-03 12:51:00.183149","train",5,0.031575705856084824,8.713970003475338e-05,""
3600,"2024-09-03 12:53:52.082875","train",5,0.028520066291093826,8.929078755786709e-05,""
3678,"2024-09-03 13:15:19.133698","train",5,"","",0.5519425435792823
3678,"2024-09-03 13:17:29.593001","val",5,"","",0.4701792771455986
3700,"2024-09-03 13:18:22.760923","train",6,0.03360585495829582,9.12677434360887e-05,""
3800,"2024-09-03 13:20:56.184217","train",6,0.03131062537431717,9.306133615135437e-05,""
3900,"2024-09-03 13:23:29.349085","train",6,0.038349539041519165,9.466319041126004e-05,""
4000,"2024-09-03 13:26:02.436679","train",6,0.026218872517347336,9.606582625800857e-05,""
4100,"2024-09-03 13:28:36.771002","train",6,0.028804225847125053,9.726269399653654e-05,""
4200,"2024-09-03 13:31:11.392789","train",6,0.022031348198652267,9.824820477872146e-05,""
4291,"2024-09-03 13:48:52.014337","train",6,"","",0.5712982081765866
4291,"2024-09-03 13:50:37.354953","val",6,"","",0.5041604411500267
4300,"2024-09-03 13:51:31.867209","train",7,0.019740993157029152,9.901775670085472e-05,""
4400,"2024-09-03 13:54:05.570854","train",7,0.021051308140158653,9.95677562925162e-05,""
4500,"2024-09-03 13:56:39.865697","train",7,0.018680624663829803,9.989563529650735e-05,""
4600,"2024-09-03 13:59:13.256929","train",7,0.018674856051802635,9.999997373502323e-05,""
4700,"2024-09-03 14:01:46.898794","train",7,0.022693946957588196,9.997703383819845e-05,""
4800,"2024-09-03 14:04:20.764110","train",7,0.024768738076090813,9.99112351027106e-05,""
4900,"2024-09-03 14:06:52.777779","train",7,0.028093373402953148,9.980263395585152e-05,""
4904,"2024-09-03 14:23:47.537869","train",7,"","",0.6147932944966873
4904,"2024-09-03 14:25:42.265929","val",7,"","",0.5107068279692449
5000,"2024-09-03 14:28:31.970544","train",8,0.02203451097011566,9.965132353115278e-05,""
5100,"2024-09-03 14:31:19.214306","train",8,0.021896829828619957,9.94574335885168e-05,""
5200,"2024-09-03 14:33:52.592252","train",8,0.024137303233146667,9.922113040293798e-05,""
5300,"2024-09-03 14:36:25.842514","train",8,0.022131405770778656,9.894261662190977e-05,""
5400,"2024-09-03 14:38:58.842679","train",8,0.02872852049767971,9.862213109163929e-05,""
5500,"2024-09-03 14:41:31.337341","train",8,0.022041454911231995,9.825994865221909e-05,""
5517,"2024-09-03 14:58:42.180787","train",8,"","",0.6494531156856724
5517,"2024-09-03 15:00:29.350312","val",8,"","",0.5115576859182935
5600,"2024-09-03 15:02:42.959945","train",9,0.015627216547727585,9.785637990193125e-05,""
5700,"2024-09-03 15:05:16.382790","train",9,0.015508546493947506,9.74117709308866e-05,""
5800,"2024-09-03 15:07:50.006554","train",9,0.017339665442705154,9.692650302422655e-05,""
5900,"2024-09-03 15:10:23.394545","train",9,0.021955816075205803,9.640099233514289e-05,""
6000,"2024-09-03 15:12:57.154047","train",9,0.022001294419169426,9.583568952799574e-05,""
6100,"2024-09-03 15:15:29.970336","train",9,0.01587531343102455,9.523107939183525e-05,""
6130,"2024-09-03 15:32:58.684227","train",9,"","",0.6834121994101129
6130,"2024-09-03 15:34:41.936567","val",9,"","",0.5279707367492219
