"step","time","part","epoch","loss","lr","dx_f_measure"
120,"2024-09-04 11:45:51.504983","train",0,0.04393061622977257,4.090847203115275e-06,""
240,"2024-09-04 11:48:36.465370","train",0,0.04723004624247551,4.363044928531353e-06,""
360,"2024-09-04 11:51:23.808631","train",0,0.049784090369939804,4.815562826162873e-06,""
480,"2024-09-04 11:54:07.991284","train",0,0.047618210315704346,5.446687979953214e-06,""
600,"2024-09-04 11:56:53.750861","train",0,0.03829968720674515,6.254031391775801e-06,""
720,"2024-09-04 11:59:38.678329","train",0,0.03903136029839516,7.234537024509055e-06,""
817,"2024-09-04 12:19:50.519384","train",0,"","",0.25258302524715115
817,"2024-09-04 12:21:55.626646","val",0,"","",0.24627210632457264
840,"2024-09-04 12:22:34.257413","train",1,0.03936206176877022,8.384493370054127e-06,""
960,"2024-09-04 12:25:18.424942","train",1,0.036556269973516464,9.69954749850697e-06,""
1080,"2024-09-04 12:28:04.097008","train",1,0.039644863456487656,1.117472153530443e-05,""
1200,"2024-09-04 12:30:51.066113","train",1,0.040009696036577225,1.2804431503973565e-05,""
1320,"2024-09-04 12:33:37.821674","train",1,0.02908431552350521,1.4582508463158395e-05,""
1440,"2024-09-04 12:36:24.655464","train",1,0.04161161184310913,1.650222185791454e-05,""
1560,"2024-09-04 12:39:10.809519","train",1,0.0362771712243557,1.8556304996879643e-05,""
1634,"2024-09-04 12:59:02.219115","train",1,"","",0.3470013705886885
1634,"2024-09-04 13:01:15.328145","val",1,"","",0.30044326070596444
1680,"2024-09-04 13:02:30.698618","train",2,0.0469796247780323,2.0736982558881167e-05,""
1800,"2024-09-04 13:05:17.667766","train",2,0.04724051058292389,2.3036000024860567e-05,""
1920,"2024-09-04 13:08:02.185644","train",2,0.031509049236774445,2.5444654923705487e-05,""
2040,"2024-09-04 13:10:47.794904","train",2,0.03324522450566292,2.7953829773714672e-05,""
2160,"2024-09-04 13:13:31.916184","train",2,0.03936680033802986,3.0554026595002695e-05,""
2280,"2024-09-04 13:16:17.978669","train",2,0.039157647639513016,3.323540286220439e-05,""
2400,"2024-09-04 13:19:06.655620","train",2,0.039255011826753616,3.5987808761387484e-05,""
2451,"2024-09-04 13:38:16.856879","train",2,"","",0.4035743072979285
2451,"2024-09-04 13:40:21.832131","val",2,"","",0.37100744976258143
2520,"2024-09-04 13:42:12.807058","train",3,0.04204569756984711,3.8800825610144535e-05,""
2640,"2024-09-04 13:45:03.286676","train",3,0.03658749535679817,4.166380529543279e-05,""
2760,"2024-09-04 13:47:50.923077","train",3,0.032551925629377365,4.4565910579877916e-05,""
2880,"2024-09-04 13:50:37.988386","train",3,0.03020140901207924,4.749615612397001e-05,""
3000,"2024-09-04 13:53:25.152919","train",3,0.02981972135603428,5.044345006887064e-05,""
3120,"2024-09-04 13:56:12.402195","train",3,0.03494426980614662,5.339663602242762e-05,""
3240,"2024-09-04 13:58:59.123897","train",3,0.03861697390675545,5.634453528946762e-05,""
3268,"2024-09-04 14:17:39.767866","train",3,"","",0.4283270186974566
3268,"2024-09-04 14:19:54.571986","val",3,"","",0.3994105966213152
3360,"2024-09-04 14:22:13.532622","train",4,0.026971440762281418,5.9275989186512463e-05,""
3480,"2024-09-04 14:25:00.426397","train",4,0.03161691501736641,6.217990128074517e-05,""
3600,"2024-09-04 14:27:48.817568","train",4,0.034460246562957764,6.504527939333846e-05,""
3720,"2024-09-04 14:30:34.906755","train",4,0.03953208029270172,6.786127720815084e-05,""
3840,"2024-09-04 14:33:23.159071","train",4,0.03714778646826744,7.061723532828838e-05,""
3960,"2024-09-04 14:36:14.528285","train",4,0.03849383443593979,7.330272162512117e-05,""
4080,"2024-09-04 14:39:01.603543","train",4,0.03214172273874283,7.590757072702122e-05,""
4085,"2024-09-04 14:57:58.862932","train",4,"","",0.45996940228294353
4085,"2024-09-04 15:00:09.907232","val",4,"","",0.4169541979439646
4200,"2024-09-04 15:03:00.392358","train",5,0.03190619871020317,7.8421922498345e-05,""
4320,"2024-09-04 15:05:42.209406","train",5,0.019021326676011086,8.083625936300617e-05,""
4440,"2024-09-04 15:08:25.591514","train",5,0.028428809717297554,8.31414423313575e-05,""
4560,"2024-09-04 15:11:11.547499","train",5,0.025696400552988052,8.532874559400968e-05,""
4680,"2024-09-04 15:13:58.894823","train",5,0.03229730203747749,8.73898895516387e-05,""
4800,"2024-09-04 15:16:44.360315","train",5,0.027340872213244438,8.931707215575419e-05,""
4902,"2024-09-04 15:37:37.404279","train",5,"","",0.49301457065586435
4902,"2024-09-04 15:39:48.824205","val",5,"","",0.4365170404787175
4920,"2024-09-04 15:40:23.067043","train",6,0.028372125700116158,9.110299844179462e-05,""
5040,"2024-09-04 15:43:08.980858","train",6,0.027141284197568893,9.274090814275765e-05,""
5160,"2024-09-04 15:45:52.768551","train",6,0.03095247969031334,9.422460127883958e-05,""
5280,"2024-09-04 15:48:37.003042","train",6,0.03785208985209465,9.554846162621986e-05,""
5400,"2024-09-04 15:51:24.121531","train",6,0.028074095025658607,9.670747797615369e-05,""
5520,"2024-09-04 15:54:10.205256","train",6,0.030436495319008827,9.769726310390121e-05,""
5640,"2024-09-04 15:57:01.734908","train",6,0.03161206841468811,9.85140703756899e-05,""
5719,"2024-09-04 16:17:03.597533","train",6,"","",0.4553053688489353
5719,"2024-09-04 16:19:17.000280","val",6,"","",0.40460687551358476
5760,"2024-09-04 16:20:22.145745","train",7,0.02060113288462162,9.91548079308478e-05,""
