"step","time","part","epoch","loss","lr","dx_f_measure"
120,"2024-09-05 01:59:54.591222","train",0,0.06740958988666534,4.010094768384448e-06,""
240,"2024-09-05 02:01:15.671816","train",0,0.049570705741643906,4.040374827523263e-06,""
360,"2024-09-05 02:02:36.433992","train",0,0.039479613304138184,4.0908274411588e-06,""
480,"2024-09-05 02:03:57.605618","train",0,0.04306820034980774,4.161431388147334e-06,""
600,"2024-09-05 02:05:18.394545","train",0,0.05145600438117981,4.2521569713850404e-06,""
720,"2024-09-05 02:06:39.867343","train",0,0.03651978075504303,4.362966030299032e-06,""
840,"2024-09-05 02:08:01.585416","train",0,0.03439735248684883,4.493811956898295e-06,""
960,"2024-09-05 02:09:22.560470","train",0,0.052728913724422455,4.644639715377694e-06,""
1080,"2024-09-05 02:10:43.679582","train",0,0.03757161274552345,4.81538586526689e-06,""
1200,"2024-09-05 02:12:05.910315","train",0,0.04001154750585556,5.005978588114415e-06,""
1320,"2024-09-05 02:13:27.005141","train",0,0.049909740686416626,5.21633771769555e-06,""
1440,"2024-09-05 02:14:48.157817","train",0,0.033406004309654236,5.446374773731541e-06,""
1560,"2024-09-05 02:16:10.347330","train",0,0.037857528775930405,5.695992999105664e-06,""
1680,"2024-09-05 02:17:32.106174","train",0,0.051484137773513794,5.96508740056087e-06,""
1800,"2024-09-05 02:18:53.527147","train",0,0.039148908108472824,6.253544792861481e-06,""
1920,"2024-09-05 02:20:15.480942","train",0,0.04338447377085686,6.561243846400666e-06,""
2040,"2024-09-05 02:21:37.242353","train",0,0.041097767651081085,6.888055138233517e-06,""
2160,"2024-09-05 02:22:58.358892","train",0,0.03346167132258415,7.233841206514348e-06,""
2280,"2024-09-05 02:24:20.517087","train",0,0.02241995930671692,7.598456608315249e-06,""
2400,"2024-09-05 02:25:41.851756","train",0,0.02561810612678528,7.981747980801622e-06,""
2451,"2024-09-05 02:48:20.083803","train",0,"","",0.36999538960434536
2451,"2024-09-05 02:50:52.029638","val",0,"","",0.3578846613024976
2520,"2024-09-05 02:51:44.957955","train",1,0.039784759283065796,8.383554105738917e-06,""
2640,"2024-09-05 02:53:07.800235","train",1,0.03293457627296448,8.803705977303503e-06,""
2760,"2024-09-05 02:54:29.411202","train",1,0.03128930926322937,9.24202687316918e-06,""
2880,"2024-09-05 02:55:53.072547","train",1,0.03199554979801178,9.698332428839163e-06,""
3000,"2024-09-05 02:57:15.855672","train",1,0.025209739804267883,1.0172430715192784e-05,""
3120,"2024-09-05 02:58:54.675133","train",1,0.03505384922027588,1.0664122319213669e-05,""
3240,"2024-09-05 03:00:16.578006","train",1,0.03783782571554184,1.1173200427866018e-05,""
3360,"2024-09-05 03:01:40.021750","train",1,0.027196817100048065,1.169945091508336e-05,""
3480,"2024-09-05 03:03:03.696223","train",1,0.03331343084573746,1.224265243183311e-05,""
3600,"2024-09-05 03:04:26.070085","train",1,0.030959278345108032,1.2802576499219555e-05,""
3720,"2024-09-05 03:05:48.888621","train",1,0.020552758127450943,1.3378987604585493e-05,""
3840,"2024-09-05 03:07:11.883281","train",1,0.0406106561422348,1.3971643300572444e-05,""
3960,"2024-09-05 03:08:35.248689","train",1,0.03725987300276756,1.4580294307097816e-05,""
4080,"2024-09-05 03:09:57.689401","train",1,0.028424834832549095,1.520468461620586e-05,""
4200,"2024-09-05 03:11:19.532291","train",1,0.04956638067960739,1.5844551599748563e-05,""
4320,"2024-09-05 03:12:40.664637","train",1,0.04123358055949211,1.6499626119851135e-05,""
4440,"2024-09-05 03:14:03.136508","train",1,0.02664782665669918,1.7169632642115437e-05,""
4560,"2024-09-05 03:15:25.859179","train",1,0.026843149214982986,1.7854289351514017e-05,""
4680,"2024-09-05 03:16:48.319042","train",1,0.028464457020163536,1.85533082709259e-05,""
4800,"2024-09-05 03:18:11.136160","train",1,0.026535578072071075,1.9266395382264067e-05,""
4902,"2024-09-05 03:41:35.531797","train",1,"","",0.42566298779592754
4902,"2024-09-05 03:44:08.353620","val",1,"","",0.35535759843558246
4920,"2024-09-05 03:44:26.747462","train",2,0.03048374317586422,1.9993250750144074e-05,""
5040,"2024-09-05 03:45:50.204923","train",2,0.04114687070250511,2.073356864804145e-05,""
5160,"2024-09-05 03:47:12.842367","train",2,0.02675960771739483,2.148703768688491e-05,""
5280,"2024-09-05 03:48:34.615124","train",2,0.05217232555150986,2.225334094603145e-05,""
5400,"2024-09-05 03:49:54.110523","train",2,0.0330716073513031,2.303215610656804e-05,""
5520,"2024-09-05 03:51:15.003829","train",2,0.02749968133866787,2.3823155586883863e-05,""
5640,"2024-09-05 03:52:36.499339","train",2,0.030439790338277817,2.4626006680456133e-05,""
5760,"2024-09-05 03:53:58.431508","train",2,0.034934863448143005,2.544037169579166e-05,""
5880,"2024-09-05 03:55:20.738375","train",2,0.03374286741018295,2.626590809846503e-05,""
6000,"2024-09-05 03:56:42.710834","train",2,0.02495206892490387,2.7102268655193807e-05,""
6120,"2024-09-05 03:58:05.624917","train",2,0.025408482179045677,2.7949101579890264e-05,""
6240,"2024-09-05 03:59:28.428929","train",2,0.02846391312777996,2.880605068162793e-05,""
6360,"2024-09-05 04:00:52.062328","train",2,0.02113179862499237,2.967275551446098e-05,""
6480,"2024-09-05 04:02:14.166432","train",2,0.027403052896261215,3.0548851529033395e-05,""
6600,"2024-09-05 04:03:37.199429","train",2,0.03585895523428917,3.143397022591393e-05,""
6720,"2024-09-05 04:04:59.301173","train",2,0.0206975806504488,3.232773931059265e-05,""
6840,"2024-09-05 04:06:21.421632","train",2,0.03189679980278015,3.322978285007382e-05,""
6960,"2024-09-05 04:07:43.768922","train",2,0.028754528611898422,3.413972143099892e-05,""
7080,"2024-09-05 04:09:07.148197","train",2,0.035128578543663025,3.505717231923383e-05,""
7200,"2024-09-05 04:10:29.084501","train",2,0.026035036891698837,3.5981749620852716e-05,""
7320,"2024-09-05 04:11:51.099779","train",2,0.027571072801947594,3.691306444445081e-05,""
7353,"2024-09-05 04:34:53.045994","train",2,"","",0.5165518182403672
7353,"2024-09-05 04:37:30.160094","val",2,"","",0.482475106753159
7440,"2024-09-05 04:38:37.539802","train",3,0.028873872011899948,3.785072506471828e-05,""
7560,"2024-09-05 04:39:59.537422","train",3,0.03612206503748894,3.8794337087205705e-05,""
7680,"2024-09-05 04:41:20.467273","train",3,0.022437788546085358,3.9743503614212645e-05,""
7800,"2024-09-05 04:42:41.755913","train",3,0.023456357419490814,4.0697825411728706e-05,""
7920,"2024-09-05 04:44:02.550966","train",3,0.031102042645215988,4.1656901077357656e-05,""
8040,"2024-09-05 04:45:23.943313","train",3,0.03694991022348404,4.262032720915335e-05,""
8160,"2024-09-05 04:46:45.478477","train",3,0.031506799161434174,4.358769857529675e-05,""
8280,"2024-09-05 04:48:06.231293","train",3,0.02086084894835949,4.455860828454277e-05,""
8400,"2024-09-05 04:49:27.548822","train",3,0.033187687397003174,4.553264795736485e-05,""
8520,"2024-09-05 04:50:48.754739","train",3,0.047760725021362305,4.6509407897725726e-05,""
8640,"2024-09-05 04:52:10.957763","train",3,0.026861747726798058,4.748847726540185e-05,""
8760,"2024-09-05 04:53:31.071698","train",3,0.023873411118984222,4.84694442487891e-05,""
